ID_VENTE,CODE_CLIENT,CODE_PRODUIT,QUANTITE,PRIX_UNITAIRE,DATE_VENTE
V000120,CLI0121,PRD001,4,350.20,2026-01-09
V000121,CLI0122,PRD002,5,357.21,2026-02-10
V000122,CLI0123,PRD003,6,364.22,2026-03-11
V000123,CLI0124,PRD004,7,371.23,2026-04-12
V000124,CLI0125,PRD005,8,378.24,2026-05-13
V000125,CLI0126,PRD006,9,385.25,2026-06-14
V000126,CLI0127,PRD007,1,392.26,2026-07-15
V000127,CLI0128,PRD008,2,399.27,2026-08-16
V000128,CLI0129,PRD009,3,406.28,2026-01-17
V000129,CLI0130,PRD010,4,413.29,2026-02-18
V000130,CLI0131,PRD011,5,420.30,2026-03-19
V000131,CLI0132,PRD012,6,427.31,2026-04-20
V000132,CLI0133,PRD013,7,434.32,2026-05-21
V000133,CLI0134,PRD014,8,441.33,2026-06-22
V000134,CLI0135,PRD015,9,448.34,2026-07-23
V000135,CLI0136,PRD016,1,455.35,2026-08-24
V000136,CLI0137,PRD017,2,462.36,2026-01-25
V000137,CLI0138,PRD018,3,469.37,2026-02-26
V000138,CLI0139,PRD019,4,476.38,2026-03-27
V000139,CLI0140,PRD020,5,483.39,2026-04-28
V000140,CLI0141,PRD021,6,490.40,2026-05-01
V000141,CLI0142,PRD022,7,497.41,2026-06-02
V000142,CLI0143,PRD023,8,504.42,2026-07-03
V000143,CLI0144,PRD024,9,11.43,2026-08-04
V000144,CLI0145,PRD025,1,18.44,2026-01-05
V000145,CLI0146,PRD026,2,25.45,2026-02-06
V000146,CLI0147,PRD027,3,32.46,2026-03-07
V000147,CLI0148,PRD028,4,39.47,2026-04-08
V000148,CLI0149,PRD029,5,46.48,2026-05-09
V000149,CLI0150,PRD030,6,53.49,2026-06-10
V000150,CLI0151,PRD031,7,60.50,2026-07-11
V000151,CLI0152,PRD032,8,67.51,2026-08-12
V000152,CLI0153,PRD033,9,74.52,2026-01-13
V000153,CLI0154,PRD034,1,81.53,2026-02-14
V000154,CLI0155,PRD035,2,88.54,2026-03-15
V000155,CLI0156,PRD036,3,95.55,2026-04-16
V000156,CLI0157,PRD037,4,102.56,2026-05-17
V000157,CLI0158,PRD038,5,109.57,2026-06-18
V000158,CLI0159,PRD039,6,116.58,2026-07-19
V000159,CLI0160,PRD040,7,123.59,2026-08-20
V000160,CLI0161,PRD001,8,130.60,2026-01-21
V000161,CLI0162,PRD002,9,137.61,2026-02-22
V000162,CLI0163,PRD003,1,144.62,2026-03-23
V000163,CLI0164,PRD004,2,151.63,2026-04-24
V000164,CLI0165,PRD005,3,158.64,2026-05-25
V000165,CLI0166,PRD006,4,165.65,2026-06-26
V000166,CLI0167,PRD007,5,172.66,2026-07-27
V000167,CLI0168,PRD008,6,179.67,2026-08-28
V000168,CLI0169,PRD009,7,186.68,2026-01-01
V000169,CLI0170,PRD010,8,193.69,2026-02-02
V000170,CLI0171,PRD011,9,200.70,2026-03-03
V000171,CLI0172,PRD012,1,207.71,2026-04-04
V000172,CLI0173,PRD013,2,214.72,2026-05-05
V000173,CLI0174,PRD014,3,221.73,2026-06-06
V000174,CLI0175,PRD015,4,228.74,2026-07-07
V000175,CLI0176,PRD016,5,235.75,2026-08-08
V000176,CLI0177,PRD017,6,242.76,2026-01-09
V000177,CLI0178,PRD018,7,249.77,2026-02-10
V000178,CLI0179,PRD019,8,256.78,2026-03-11
V000179,CLI0180,PRD020,9,263.79,2026-04-12
V000180,CLI0181,PRD021,1,270.80,2026-05-13
V000181,CLI0182,PRD022,2,277.81,2026-06-14
V000182,CLI0183,PRD023,3,284.82,2026-07-15
V000183,CLI0184,PRD024,4,291.83,2026-08-16
V000184,CLI0185,PRD025,5,298.84,2026-01-17
V000185,CLI0186,PRD026,6,305.85,2026-02-18
V000186,CLI0187,PRD027,7,312.86,2026-03-19
V000187,CLI0188,PRD028,8,319.87,2026-04-20
V000188,CLI0189,PRD029,9,326.88,2026-05-21
V000189,CLI0190,PRD030,1,333.89,2026-06-22
V000190,CLI0191,PRD031,2,340.90,2026-07-23
V000191,CLI0192,PRD032,3,347.91,2026-08-24
V000192,CLI0193,PRD033,4,354.92,2026-01-25
V000193,CLI0194,PRD034,5,361.93,2026-02-26
V000194,CLI0195,PRD035,6,368.94,2026-03-27
V000195,CLI0196,PRD036,7,375.95,2026-04-28
V000196,CLI0197,PRD037,8,382.96,2026-05-01
V000197,CLI0198,PRD038,9,389.97,2026-06-02
V000198,CLI0199,PRD039,1,396.98,2026-07-03
V000199,CLI0200,PRD040,2,403.99,2026-08-04
V000200,CLI0001,PRD001,3,410.00,2026-01-05
V000201,CLI0002,PRD002,4,417.01,2026-02-06
V000202,CLI0003,PRD003,5,424.02,2026-03-07
V000203,CLI0004,PRD004,6,431.03,2026-04-08
V000204,CLI0005,PRD005,7,438.04,2026-05-09
V000205,CLI0006,PRD006,8,445.05,2026-06-10
V000206,CLI0007,PRD007,9,452.06,2026-07-11
V000207,CLI0008,PRD008,1,459.07,2026-08-12
V000208,CLI0009,PRD009,2,466.08,2026-01-13
V000209,CLI0010,PRD010,3,473.09,2026-02-14
V000210,CLI0011,PRD011,4,480.10,2026-03-15
V000211,CLI0012,PRD012,5,487.11,2026-04-16
V000212,CLI0013,PRD013,6,494.12,2026-05-17
V000213,CLI0014,PRD014,7,501.13,2026-06-18
V000214,CLI0015,PRD015,8,508.14,2026-07-19
V000215,CLI0016,PRD016,9,15.15,2026-08-20
V000216,CLI0017,PRD017,1,22.16,2026-01-21
V000217,CLI0018,PRD018,2,29.17,2026-02-22
V000218,CLI0019,PRD019,3,36.18,2026-03-23
V000219,CLI0020,PRD020,4,43.19,2026-04-24
V000220,CLI0021,PRD021,5,50.20,2026-05-25
V000221,CLI0022,PRD022,6,57.21,2026-06-26
V000222,CLI0023,PRD023,7,64.22,2026-07-27
V000223,CLI0024,PRD024,8,71.23,2026-08-28
V000224,CLI0025,PRD025,9,78.24,2026-01-01
V000225,CLI0026,PRD026,1,85.25,2026-02-02
V000226,CLI0027,PRD027,2,92.26,2026-03-03
V000227,CLI0028,PRD028,3,99.27,2026-04-04
V000228,CLI0029,PRD029,4,106.28,2026-05-05
V000229,CLI0030,PRD030,5,113.29,2026-06-06
V000230,CLI0031,PRD031,6,120.30,2026-07-07
V000231,CLI0032,PRD032,7,127.31,2026-08-08
V000232,CLI0033,PRD033,8,134.32,2026-01-09
V000233,CLI0034,PRD034,9,141.33,2026-02-10
V000234,CLI0035,PRD035,1,148.34,2026-03-11
V000235,CLI0036,PRD036,2,155.35,2026-04-12
V000236,CLI0037,PRD037,3,162.36,2026-05-13
V000237,CLI0038,PRD038,4,169.37,2026-06-14
V000238,CLI0039,PRD039,5,176.38,2026-07-15
V000239,CLI0040,PRD040,6,183.39,2026-08-16
V000240,CLI0041,PRD001,7,190.40,2026-01-17
V000241,CLI0042,PRD002,8,197.41,2026-02-18
V000242,CLI0043,PRD003,9,204.42,2026-03-19
V000243,CLI0044,PRD004,1,211.43,2026-04-20
V000244,CLI0045,PRD005,2,218.44,2026-05-21
V000245,CLI0046,PRD006,3,225.45,2026-06-22
V000246,CLI0047,PRD007,4,232.46,2026-07-23
V000247,CLI0048,PRD008,5,239.47,2026-08-24
V000248,CLI0049,PRD009,6,246.48,2026-01-25
V000249,CLI0050,PRD010,7,253.49,2026-02-26
V000250,CLI0051,PRD011,8,260.50,2026-03-27
V000251,CLI0052,PRD012,9,267.51,2026-04-28
V000252,CLI0053,PRD013,1,274.52,2026-05-01
V000253,CLI0054,PRD014,2,281.53,2026-06-02
V000254,CLI0055,PRD015,3,288.54,2026-07-03
V000255,CLI0056,PRD016,4,295.55,2026-08-04
V000256,CLI0057,PRD017,5,302.56,2026-01-05
V000257,CLI0058,PRD018,6,309.57,2026-02-06
V000258,CLI0059,PRD019,7,316.58,2026-03-07
V000259,CLI0060,PRD020,8,323.59,2026-04-08
V000260,CLI0061,PRD021,9,330.60,2026-05-09
V000261,CLI0062,PRD022,1,337.61,2026-06-10
V000262,CLI0063,PRD023,2,344.62,2026-07-11
V000263,CLI0064,PRD024,3,351.63,2026-08-12
V000264,CLI0065,PRD025,4,358.64,2026-01-13
V000265,CLI0066,PRD026,5,365.65,2026-02-14
V000266,CLI0067,PRD027,6,372.66,2026-03-15
V000267,CLI0068,PRD028,7,379.67,2026-04-16
V000268,CLI0069,PRD029,8,386.68,2026-05-17
V000269,CLI0070,PRD030,9,393.69,2026-06-18
V000270,CLI0071,PRD031,1,400.70,2026-07-19
V000271,CLI0072,PRD032,2,407.71,2026-08-20
V000272,CLI0073,PRD033,3,414.72,2026-01-21
V000273,CLI0074,PRD034,4,421.73,2026-02-22
V000274,CLI0075,PRD035,5,428.74,2026-03-23
V000275,CLI0076,PRD036,6,435.75,2026-04-24
V000276,CLI0077,PRD037,7,442.76,2026-05-25
V000277,CLI0078,PRD038,8,449.77,2026-06-26
V000278,CLI0079,PRD039,9,456.78,2026-07-27
V000279,CLI0080,PRD040,1,463.79,2026-08-28
V000280,CLI0081,PRD001,2,470.80,2026-01-01
V000281,CLI0082,PRD002,3,477.81,2026-02-02
V000282,CLI0083,PRD003,4,484.82,2026-03-03
V000283,CLI0084,PRD004,5,491.83,2026-04-04
V000284,CLI0085,PRD005,6,498.84,2026-05-05
V000285,CLI0086,PRD006,7,505.85,2026-06-06
V000286,CLI0087,PRD007,8,12.86,2026-07-07
V000287,CLI0088,PRD008,9,19.87,2026-08-08
V000288,CLI0089,PRD009,1,26.88,2026-01-09
V000289,CLI0090,PRD010,2,33.89,2026-02-10
V000290,CLI0091,PRD011,3,40.90,2026-03-11
V000291,CLI0092,PRD012,4,47.91,2026-04-12
V000292,CLI0093,PRD013,5,54.92,2026-05-13
V000293,CLI0094,PRD014,6,61.93,2026-06-14
V000294,CLI0095,PRD015,7,68.94,2026-07-15
V000295,CLI0096,PRD016,8,75.95,2026-08-16
V000296,CLI0097,PRD017,9,82.96,2026-01-17
V000297,CLI0098,PRD018,1,89.97,2026-02-18
V000298,CLI0099,PRD019,2,96.98,2026-03-19
V000299,CLI0100,PRD020,3,103.99,2026-04-20
V000300,CLI0101,PRD021,4,110.00,2026-05-21
V000301,CLI0102,PRD022,5,117.01,2026-06-22
V000302,CLI0103,PRD023,6,124.02,2026-07-23
V000303,CLI0104,PRD024,7,131.03,2026-08-24
V000304,CLI0105,PRD025,8,138.04,2026-01-25
V000305,CLI0106,PRD026,9,145.05,2026-02-26
V000306,CLI0107,PRD027,1,152.06,2026-03-27
V000307,CLI0108,PRD028,2,159.07,2026-04-28
V000308,CLI0109,PRD029,3,166.08,2026-05-01
V000309,CLI0110,PRD030,4,173.09,2026-06-02
V000310,CLI0111,PRD031,5,180.10,2026-07-03
V000311,CLI0112,PRD032,6,187.11,2026-08-04
V000312,CLI0113,PRD033,7,194.12,2026-01-05
V000313,CLI0114,PRD034,8,201.13,2026-02-06
V000314,CLI0115,PRD035,9,208.14,2026-03-07
V000315,CLI0116,PRD036,1,215.15,2026-04-08
V000316,CLI0117,PRD037,2,222.16,2026-05-09
V000317,CLI0118,PRD038,3,229.17,2026-06-10
V000318,CLI0119,PRD039,4,236.18,2026-07-11
V000319,CLI0120,PRD040,5,243.19,2026-08-12
V000320,CLI0121,PRD001,6,250.20,2026-01-13
V000321,CLI0122,PRD002,7,257.21,2026-02-14
V000322,CLI0123,PRD003,8,264.22,2026-03-15
V000323,CLI0124,PRD004,9,271.23,2026-04-16
V000324,CLI0125,PRD005,1,278.24,2026-05-17
V000325,CLI0126,PRD006,2,285.25,2026-06-18
V000326,CLI0127,PRD007,3,292.26,2026-07-19
V000327,CLI0128,PRD008,4,299.27,2026-08-20
V000328,CLI0129,PRD009,5,306.28,2026-01-21
V000329,CLI0130,PRD010,6,313.29,2026-02-22
V000330,CLI0131,PRD011,7,320.30,2026-03-23
V000331,CLI0132,PRD012,8,327.31,2026-04-24
V000332,CLI0133,PRD013,9,334.32,2026-05-25
V000333,CLI0134,PRD014,1,341.33,2026-06-26
V000334,CLI0135,PRD015,2,348.34,2026-07-27
V000335,CLI0136,PRD016,3,355.35,2026-08-28
V000336,CLI0137,PRD017,4,362.36,2026-01-01
V000337,CLI0138,PRD018,5,369.37,2026-02-02
V000338,CLI0139,PRD019,6,376.38,2026-03-03
V000339,CLI0140,PRD020,7,383.39,2026-04-04
V000340,CLI0141,PRD021,8,390.40,2026-05-05
V000341,CLI0142,PRD022,9,397.41,2026-06-06
V000342,CLI0143,PRD023,1,404.42,2026-07-07
V000343,CLI0144,PRD024,2,411.43,2026-08-08
V000344,CLI0145,PRD025,3,418.44,2026-01-09
V000345,CLI0146,PRD026,4,425.45,2026-02-10
V000346,CLI0147,PRD027,5,432.46,2026-03-11
V000347,CLI0148,PRD028,6,439.47,2026-04-12
V000348,CLI0149,PRD029,7,446.48,2026-05-13
V000349,CLI0150,PRD030,8,453.49,2026-06-14
V000350,CLI0151,PRD031,9,460.50,2026-07-15
V000351,CLI0152,PRD032,1,467.51,2026-08-16
V000352,CLI0153,PRD033,2,474.52,2026-01-17
V000353,CLI0154,PRD034,3,481.53,2026-02-18
V000354,CLI0155,PRD035,4,488.54,2026-03-19
V000355,CLI0156,PRD036,5,495.55,2026-04-20
V000356,CLI0157,PRD037,6,502.56,2026-05-21
V000357,CLI0158,PRD038,7,509.57,2026-06-22
V000358,CLI0159,PRD039,8,16.58,2026-07-23
V000359,CLI0160,PRD040,9,23.59,2026-08-24
V000360,CLI0161,PRD001,1,30.60,2026-01-25
V000361,CLI0162,PRD002,2,37.61,2026-02-26
V000362,CLI0163,PRD003,3,44.62,2026-03-27
V000363,CLI0164,PRD004,4,51.63,2026-04-28
V000364,CLI0165,PRD005,5,58.64,2026-05-01
V000365,CLI0166,PRD006,6,65.65,2026-06-02
V000366,CLI0167,PRD007,7,72.66,2026-07-03
V000367,CLI0168,PRD008,8,79.67,2026-08-04
V000368,CLI0169,PRD009,9,86.68,2026-01-05
V000369,CLI0170,PRD010,1,93.69,2026-02-06
V000370,CLI0171,PRD011,2,100.70,2026-03-07
V000371,CLI0172,PRD012,3,107.71,2026-04-08
V000372,CLI0173,PRD013,4,114.72,2026-05-09
V000373,CLI0174,PRD014,5,121.73,2026-06-10
V000374,CLI0175,PRD015,6,128.74,2026-07-11
V000375,CLI0176,PRD016,7,135.75,2026-08-12
V000376,CLI0177,PRD017,8,142.76,2026-01-13
V000377,CLI0178,PRD018,9,149.77,2026-02-14
V000378,CLI0179,PRD019,1,156.78,2026-03-15
V000379,CLI0180,PRD020,2,163.79,2026-04-16
V000380,CLI0181,PRD021,3,170.80,2026-05-17
V000381,CLI0182,PRD022,4,177.81,2026-06-18
V000382,CLI0183,PRD023,5,184.82,2026-07-19
V000383,CLI0184,PRD024,6,191.83,2026-08-20
V000384,CLI0185,PRD025,7,198.84,2026-01-21
V000385,CLI0186,PRD026,8,205.85,2026-02-22
V000386,CLI0187,PRD027,9,212.86,2026-03-23
V000387,CLI0188,PRD028,1,219.87,2026-04-24
V000388,CLI0189,PRD029,2,226.88,2026-05-25
V000389,CLI0190,PRD030,3,233.89,2026-06-26
V000390,CLI0191,PRD031,4,240.90,2026-07-27
V000391,CLI0192,PRD032,5,247.91,2026-08-28
V000392,CLI0193,PRD033,6,254.92,2026-01-01
V000393,CLI0194,PRD034,7,261.93,2026-02-02
V000394,CLI0195,PRD035,8,268.94,2026-03-03
V000395,CLI0196,PRD036,9,275.95,2026-04-04
V000396,CLI0197,PRD037,1,282.96,2026-05-05
V000397,CLI0198,PRD038,2,289.97,2026-06-06
V000398,CLI0199,PRD039,3,296.98,2026-07-07
V000399,CLI0200,PRD040,4,303.99,2026-08-08
V000400,CLI0001,PRD001,5,310.00,2026-01-09
V000401,CLI0002,PRD002,6,317.01,2026-02-10
V000402,CLI0003,PRD003,7,324.02,2026-03-11
V000403,CLI0004,PRD004,8,331.03,2026-04-12
V000404,CLI0005,PRD005,9,338.04,2026-05-13
V000405,CLI0006,PRD006,1,345.05,2026-06-14
V000406,CLI0007,PRD007,2,352.06,2026-07-15
V000407,CLI0008,PRD008,3,359.07,2026-08-16
V000408,CLI0009,PRD009,4,366.08,2026-01-17
V000409,CLI0010,PRD010,5,373.09,2026-02-18
V000410,CLI0011,PRD011,6,380.10,2026-03-19
V000411,CLI0012,PRD012,7,387.11,2026-04-20
V000412,CLI0013,PRD013,8,394.12,2026-05-21
V000413,CLI0014,PRD014,9,401.13,2026-06-22
V000414,CLI0015,PRD015,1,408.14,2026-07-23
V000415,CLI0016,PRD016,2,415.15,2026-08-24
V000416,CLI0017,PRD017,3,422.16,2026-01-25
V000417,CLI0018,PRD018,4,429.17,2026-02-26
V000418,CLI0019,PRD019,5,436.18,2026-03-27
V000419,CLI0020,PRD020,6,443.19,2026-04-28
V000420,CLI0021,PRD021,7,450.20,2026-05-01
V000421,CLI0022,PRD022,8,457.21,2026-06-02
V000422,CLI0023,PRD023,9,464.22,2026-07-03
V000423,CLI0024,PRD024,1,471.23,2026-08-04
V000424,CLI0025,PRD025,2,478.24,2026-01-05
V000425,CLI0026,PRD026,3,485.25,2026-02-06
V000426,CLI0027,PRD027,4,492.26,2026-03-07
V000427,CLI0028,PRD028,5,499.27,2026-04-08
V000428,CLI0029,PRD029,6,506.28,2026-05-09
V000429,CLI0030,PRD030,7,13.29,2026-06-10
V000430,CLI0031,PRD031,8,20.30,2026-07-11
V000431,CLI0032,PRD032,9,27.31,2026-08-12
V000432,CLI0033,PRD033,1,34.32,2026-01-13
V000433,CLI0034,PRD034,2,41.33,2026-02-14
V000434,CLI0035,PRD035,3,48.34,2026-03-15
V000435,CLI0036,PRD036,4,55.35,2026-04-16
V000436,CLI0037,PRD037,5,62.36,2026-05-17
V000437,CLI0038,PRD038,6,69.37,2026-06-18
V000438,CLI0039,PRD039,7,76.38,2026-07-19
V000439,CLI0040,PRD040,8,83.39,2026-08-20
V000440,CLI0041,PRD001,9,90.40,2026-01-21
V000441,CLI0042,PRD002,1,97.41,2026-02-22
V000442,CLI0043,PRD003,2,104.42,2026-03-23
V000443,CLI0044,PRD004,3,111.43,2026-04-24
V000444,CLI0045,PRD005,4,118.44,2026-05-25
V000445,CLI0046,PRD006,5,125.45,2026-06-26
V000446,CLI0047,PRD007,6,132.46,2026-07-27
V000447,CLI0048,PRD008,7,139.47,2026-08-28
V000448,CLI0049,PRD009,8,146.48,2026-01-01
V000449,CLI0050,PRD010,9,153.49,2026-02-02
V000450,CLI0051,PRD011,1,160.50,2026-03-03
V000451,CLI0052,PRD012,2,167.51,2026-04-04
V000452,CLI0053,PRD013,3,174.52,2026-05-05
V000453,CLI0054,PRD014,4,181.53,2026-06-06
V000454,CLI0055,PRD015,5,188.54,2026-07-07
V000455,CLI0056,PRD016,6,195.55,2026-08-08
V000456,CLI0057,PRD017,7,202.56,2026-01-09
V000457,CLI0058,PRD018,8,209.57,2026-02-10
V000458,CLI0059,PRD019,9,216.58,2026-03-11
V000459,CLI0060,PRD020,1,223.59,2026-04-12
V000460,CLI0061,PRD021,2,230.60,2026-05-13
V000461,CLI0062,PRD022,3,237.61,2026-06-14
V000462,CLI0063,PRD023,4,244.62,2026-07-15
V000463,CLI0064,PRD024,5,251.63,2026-08-16
V000464,CLI0065,PRD025,6,258.64,2026-01-17
V000465,CLI0066,PRD026,7,265.65,2026-02-18
V000466,CLI0067,PRD027,8,272.66,2026-03-19
V000467,CLI0068,PRD028,9,279.67,2026-04-20
V000468,CLI0069,PRD029,1,286.68,2026-05-21
V000469,CLI0070,PRD030,2,293.69,2026-06-22
V000470,CLI0071,PRD031,3,300.70,2026-07-23
V000471,CLI0072,PRD032,4,307.71,2026-08-24
V000472,CLI0073,PRD033,5,314.72,2026-01-25
V000473,CLI0074,PRD034,6,321.73,2026-02-26
V000474,CLI0075,PRD035,7,328.74,2026-03-27
V000475,CLI0076,PRD036,8,335.75,2026-04-28
V000476,CLI0077,PRD037,9,342.76,2026-05-01
V000477,CLI0078,PRD038,1,349.77,2026-06-02
V000478,CLI0079,PRD039,2,356.78,2026-07-03
V000479,CLI0080,PRD040,3,363.79,2026-08-04
V000480,CLI0081,PRD001,4,370.80,2026-01-05
V000481,CLI0082,PRD002,5,377.81,2026-02-06
V000482,CLI0083,PRD003,6,384.82,2026-03-07
V000483,CLI0084,PRD004,7,391.83,2026-04-08
V000484,CLI0085,PRD005,8,398.84,2026-05-09
V000485,CLI0086,PRD006,9,405.85,2026-06-10
V000486,CLI0087,PRD007,1,412.86,2026-07-11
V000487,CLI0088,PRD008,2,419.87,2026-08-12
V000488,CLI0089,PRD009,3,426.88,2026-01-13
V000489,CLI0090,PRD010,4,433.89,2026-02-14
V000490,CLI0091,PRD011,5,440.90,2026-03-15
V000491,CLI0092,PRD012,6,447.91,2026-04-16
V000492,CLI0093,PRD013,7,454.92,2026-05-17
V000493,CLI0094,PRD014,8,461.93,2026-06-18
V000494,CLI0095,PRD015,9,468.94,2026-07-19
V000495,CLI0096,PRD016,1,475.95,2026-08-20
